name,country,howstatid,iccid,role,rank,icc_role,rating,format
Marco Jansen,SA,5974,17068,bowler,-1,-1,-1
Heinrich Klaasen,SA,4731,3869,batsman,-1,-1,-1
Keshav Maharaj,SA,4601,1894,allrounder,-1,-1,-1
Aiden Markram,SA,4701,1667,batsman,-1,-1,-1
Wiaan Mulder,SA,4707,,allrounder,-1,-1,-1
Senuran Muthusamy,SA,5497,-1,allrounder,-1,-1,-1
Lungi Ngidi,SA,4636,3746,bowler,-1,-1,-1
Anrich Nortje,SA,4929,5433,bowler,-1,-1,-1
Keegan Petersen,SA,6014,,batsman,-1,-1,-1
Kagiso Rabada,SA,4339,1664,bowler,-1,-1,-1
Ryan Rickelton,SA,6552,,batsman,-1,-1,-1
Rassie van der Dussen,SA,4817,1277,batsman,-1,-1,-1
Kyle Verreynne,SA,5829,-1,batsman,-1,-1,-1
Khaya Zondo,SA,4730,,batsman,-1,-1,-1
Quinton de Kock,SA,3988,834,batsman,-1,-1,-1
Bjorn Fortuin,SA,5479,,bowler,-1,-1,-1
Reeza Hendricks,SA,4340,1915,bowler,-1,-1,-1
Sisanda Magala,SA,5985,,bowler,-1,-1,-1
David Miller,SA,3783,187,batsman,-1,-1,-1
Wayne Parnell,SA,3642,223,bowler,-1,-1,-1
Andile Phehlukwayo,SA,4588,,allrounder,-1,-1,-1
Tabraiz Shamsi,SA,4562,3309,bowler,-1,-1,-1
Tristan Stubbs,SA,6607,-1,batsman,-1,-1,-1
Lizaad Williams,SA,5984,,bowler,-1,-1,-1
Matthew Breetzke,SA,7453,,batsman,-1,-1,-1
Dewald Brevis,SA,6517,-1,allrounder,-1,-1,-1
Donovan Ferreira,SA,7214,-1,allrounder,-1,-1,-1
Rilee Rossouw,SA,4321,239,batsman,-1,-1,-1
Dinesh Chandimal,SL,3779,-1,batsman,-1,-1,-1
Dhananjaya de Silva,SL,4472,1295,allrounder,-1,-1,-1
Niroshan Dickwella,SL,4316,-1,batsman,-1,-1,-1
Asitha Fernando,SL,4697,-1,batsman,-1,-1,-1
Oshada Fernando,SL,4852,-1,batsman,-1,-1,-1
Nishan Madushka,SL,7187,19469,bowler,-1,-1,-1
Vishwa Fernando,SL,4574,-1,bowler,-1,-1,-1
Prabath Jayasuriya,SL,4805,5268,bowler,-1,-1,-1
Dimuth Karunaratne,SL,3871,,batsman,-1,-1,-1
Lahiru Kumara,SL,4599,3085,bowler,-1,-1,-1
Dilshan Madushanka,SL,6859,19469,bowler,-1,-1,-1
Angelo Mathews,SL,3628,217,allrounder,-1,-1,-1
Kusal Mendis,SL,4485,1670,batsman,-1,-1,-1
Ramesh Mendis,SL,5937,19998,batsman,-1,-1,-1
Kasun Rajitha,SL,3034,3154,bowler,-1,-1,-1
Sadeera Samarawickrama,SL,4704,,batsman,-1,-1,-1
Sahan Arachchige,SL,4950,-1,allrounder,-1,-1,-1
Charith Asalanka,SL,6032,,allrounder,-1,-1,-1
Ashen Bandara,SL,5950,-1,batsman,-1,-1,-1
Dushmantha Chameera,SL,4380,,bowler,-1,-1,-1
Wanindu Hasaranga,SL,4696,,bowler,-1,-1,-1
Nuwanidu Fernando,SL,7118,,batsman,-1,-1,-1
Avishka Fernando,SL,4581,-1,batsman,-1,-1,-1
Dushan Hemantha,SL,7299,,allrounder,-1,-1,-1
Chamika Karunaratne,SL,4847,-1,batsman,-1,-1,-1
Dhananjaya Lakshan,SL,6033,-1,allrounder,-1,-1,-1
Pathum Nissanka,SL,5951,17077,batsman,-1,-1,-1
Matheesha Pathirana,SL,6613,,Bowler,-1,-1,-1
Kusal Perera,SL,3994,1738,batsman,-1,-1,-1
Pramod Madushan,SL,6666,-1,bowler,-1,-1,-1
Dasun Shanaka,SL,4476,2876,allrounder,-1,-1,-1
Maheesh Theekshana,SL,6613,20707,bowler,-1,-1,-1
Jeffrey Vandersay,SL,4474,,Bowler,-1,-1,-1
Dunith Wellalage,SL,6655,100031,bowler,-1,-1,-1
Lasith Croospulle,SL,7537,,batsman,-1,-1,-1
Shevon Daniel,SL,7541,-1,batsman,-1,-1,-1
Ravindu Fernando,SL,7540,-1,allrounder,-1,-1,-1
Lahiru Udara,SL,7542,3085,bowler,-1,-1,-1
Bhanuka Rajapaksa,SL,5509,877,batsman,-1,-1,-1
Lahiru Samarakoon,SL,7542,3085,bowler,-1,-1,-1
Nuwan Thushara,SL,6475,-1,bowler,-1,-1,-1
Nimesh Vimukthi,SL,7539,-1,allrounder,-1,-1,-1
Vijayakanth Viyaskanth,SL,7543,-1,bowler,-1,-1,-1
Alick Athanaze,WI,7307,-1,allrounder,-1,-1,-1
Jermaine Blackwood,WI,4312,-1,batsman,-1,-1,-1
Nkrumah Bonner,WI,3902,,batsman,-1,-1,-1
Kraigg Brathwaite,WI,3863,1460,allrounder,-1,-1,-1
Shamarh Brooks,WI,5393,,batsman,-1,-1,-1
Tagenarine Chanderpaul,WI,7053,-1,batsman,-1,-1,-1
Roston Chase,WI,4570,3321,batsman,-1,-1,-1
Rahkeem Cornwall,WI,5401,3858,allrounder,-1,-1,-1
Joshua Da Silva,WI,5929,-1,batsman,-1,-1,-1
Shannon Gabriel,WI,3952,871,bowler,-1,-1,-1
Jason Holder,WI,3998,1075,allrounder,-1,-1,-1
Alzarri Joseph,WI,4575,3098,bowler,-1,-1,-1
Kyle Mayers,WI,5925,1902,bowler,-1,-1,-1
Kirk McKenzie,WI,7376,,batsman,-1,-1,-1
Marquino Mindley,WI,7091,,Bowler,-1,-1,-1
Gudakesh Motie,WI,6459,-1,bowler,-1,-1,-1
Anderson Phillip,WI,5954,-1,bowler,-1,-1,-1
Raymon Reifer,WI,4716,,Allrounder,-1,-1,-1
Kemar Roach,WI,3611,410,bowler,-1,-1,-1
Jayden Seales,WI,6013,19107,bowler,-1,-1,-1
Devon Thomas,WI,3718,,batsman,-1,-1,-1
Jomel Warrican,WI,4486,2879,bowler,-1,-1,-1
Akeem Jordan,WI,7302,,Bowler,-1,-1,-1
Yannic Cariah,WI,6854,-1,Bowler,-1,-1,-1
Keacy Carty,WI,6619,,Allrounder,-1,-1,-1
Johnson Charles,WI,3903,,batsman,-1,-1,-1
Dominic Drakes,WI,6458,,Allrounder,-1,-1,-1
Shimron Hetmyer,WI,4681,1705,batsman,-1,-1,-1
Kavem Hodge,WI,7301,-1,Allrounder,-1,-1,-1
Shai Hope,WI,4417,2751,batsman,-1,-1,-1
Akeal Hosein,WI,5935,20593,bowler,-1,-1,-1
Brandon King,WI,3800,1708,batsman,-1,-1,-1
Keemo Paul,WI,4742,,Allrounder,-1,-1,-1
Nicholas Pooran,WI,4587,1703,batsman,-1,-1,-1
Rovman Powell,WI,3022,3333,bowler,-1,-1,-1
Romario Shepherd,WI,5662,-1,bowler,-1,-1,-1
Kevin Sinclair,WI,5952,-1,bowler,-1,-1,-1
Odean Smith,WI,4748,3103,bowler,-1,-1,-1
Sheldon Cottrell,WI,4249,1309,bowler,-1,-1,-1
Obed McCoy,WI,4825,3100,bowler,-1,-1,-1
Gary Ballance,ZIM,4234,,batsman,-1,-1,-1
Chamu Chibhabha,ZIM,3320,,batsman,-1,-1,-1
Tanaka Chivanga,ZIM,6615,,Bowler,-1,-1,-1
Craig Ervine,ZIM,3780,,batsman,-1,-1,-1
Brad Evans,ZIM,6617,,Allrounder,-1,-1,-1
Innocent Kaia,ZIM,6198,,batsman,-1,-1,-1
Tanunurwa Makoni,ZIM,7124,,batsman,-1,-1,-1
Wellington Masakadza,ZIM,4482,,Bowler,-1,-1,-1
Brandon Mavuta,ZIM,4800,,Allrounder,-1,-1,-1
Richard Ngarava,ZIM,4646,,Bowler,-1,-1,-1
Victor Nyauchi,ZIM,5768,,Bowler,-1,-1,-1
Milton Shumba,ZIM,5922,,batsman,-1,-1,-1
Donald Tiripano,ZIM,4314,,Bowler,-1,-1,-1
Tafadzwa Tsiga,ZIM,7125,,batsman,-1,-1,-1
Ryan Burl,ZIM,4645,,batsman,-1,-1,-1
Tendai Chatara,ZIM,3792,,Bowler,-1,-1,-1
